JULIO,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,Unnamed: 9,_sheet,_row_number,_imported_at
1, , , , , , ,, ,,2025-JULIO.SEPTIEMBRE,2,2026-01-12T10:12:30.821139
2, , , , , , ,GPO. HOTUSA PC/17 PAX, ,,2025-JULIO.SEPTIEMBRE,3,2026-01-12T10:12:30.821139
3,,CASTING                     CONCHI IGLESIAS, , , , ,, ,,2025-JULIO.SEPTIEMBRE,4,2026-01-12T10:12:30.821139
4, , , , , , ,, ,,2025-JULIO.SEPTIEMBRE,5,2026-01-12T10:12:30.821139
5, , , , , , ,, ,,2025-JULIO.SEPTIEMBRE,6,2026-01-12T10:12:30.821139
6, , , , , , ,, ,,2025-JULIO.SEPTIEMBRE,7,2026-01-12T10:12:30.821139
7, , , , , , , , ,,2025-JULIO.SEPTIEMBRE,8,2026-01-12T10:12:30.821139
8, , , , , , ,, ,,2025-JULIO.SEPTIEMBRE,9,2026-01-12T10:12:30.821139
9,,"MAN TRUCK/""U"" 6 PAX", , , , , , ,,2025-JULIO.SEPTIEMBRE,10,2026-01-12T10:12:30.821139
10, , , , , , , , ,,2025-JULIO.SEPTIEMBRE,11,2026-01-12T10:12:30.821139
11, , , , , , , , ,,2025-JULIO.SEPTIEMBRE,12,2026-01-12T10:12:30.821139
12,,,UEM,UEM,,,,,,2025-JULIO.SEPTIEMBRE,13,2026-01-12T10:12:30.821139
13,,,UEM,UEM,,,,,,2025-JULIO.SEPTIEMBRE,14,2026-01-12T10:12:30.821139
14,,,,,,,,,,2025-JULIO.SEPTIEMBRE,15,2026-01-12T10:12:30.821139
15,,,,,TMS-FORMACION EUROSTARS,,,,,2025-JULIO.SEPTIEMBRE,16,2026-01-12T10:12:30.821139
16,,,,,TMS-FORMACION EUROSTARS,,,,,2025-JULIO.SEPTIEMBRE,17,2026-01-12T10:12:30.821139
17,,,UEM,UEM,,,,,,2025-JULIO.SEPTIEMBRE,18,2026-01-12T10:12:30.821139
18,IMAYA FORMACION                           ESCUELA 17 PAX,,UEM,UEM,,COFFEES-IMAYA FORM./17 PAX,,,,2025-JULIO.SEPTIEMBRE,19,2026-01-12T10:12:30.821139
19,IMAYA FORMACION                      ESCUELA 17 PAX,,UEM,UEM,,COFFEES-IMAYA FORM./17 PAX,,,,2025-JULIO.SEPTIEMBRE,20,2026-01-12T10:12:30.821139
20,IMAYA FORMACION                      ESCUELA 17 PAX,,UEM,UEM,,,,,,2025-JULIO.SEPTIEMBRE,21,2026-01-12T10:12:30.821139
21,UEM,EUROSTARS HOTEL COMPANY,,Montaje TAYPA x tarde,MONTAJE GIOSEPPO CALZADO,,GPO. HOTUSA/CENA 22 PAX,,,2025-JULIO.SEPTIEMBRE,22,2026-01-12T10:12:30.821139
22,UEM,EXPOSICION INDITEX,,TAYPA-EXP. CONFECCION,GIOSEPPO,,GPO. HOTUSA/CENA 22 PAX,,,2025-JULIO.SEPTIEMBRE,23,2026-01-12T10:12:30.821139
23,UEM,,,,GIOSEPPO,,,,,2025-JULIO.SEPTIEMBRE,24,2026-01-12T10:12:30.821139
24,UEM,,,,GIOSEPPO,,,,,2025-JULIO.SEPTIEMBRE,25,2026-01-12T10:12:30.821139
25,,,,MONTAJE DARIO CHOUZA,,,FESTIVO,,,2025-JULIO.SEPTIEMBRE,26,2026-01-12T10:12:30.821139
26,,,,DARIO CHOUZA,,,,,,2025-JULIO.SEPTIEMBRE,27,2026-01-12T10:12:30.821139
27,,,,BLOQUEO MUESTRARIO,,,,,,2025-JULIO.SEPTIEMBRE,28,2026-01-12T10:12:30.821139
28,,,,DARIO CHOUZA,,,,,,2025-JULIO.SEPTIEMBRE,29,2026-01-12T10:12:30.821139
29,,EUROSTARS HOTEL COMPANY,,,,,,,,2025-JULIO.SEPTIEMBRE,30,2026-01-12T10:12:30.821139
30,,,,,,,,,,2025-JULIO.SEPTIEMBRE,31,2026-01-12T10:12:30.821139
31,,,,,,,,,,2025-JULIO.SEPTIEMBRE,32,2026-01-12T10:12:30.821139
AGOSTO,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,,2025-JULIO.SEPTIEMBRE,33,2026-01-12T10:12:30.821139
1,,,,,,,,,,2025-JULIO.SEPTIEMBRE,34,2026-01-12T10:12:30.821139
2,,,,,,,,,,2025-JULIO.SEPTIEMBRE,35,2026-01-12T10:12:30.821139
3,,,,,,,,,,2025-JULIO.SEPTIEMBRE,36,2026-01-12T10:12:30.821139
4,,,,,,,,,,2025-JULIO.SEPTIEMBRE,37,2026-01-12T10:12:30.821139
5,,,,,,,,,,2025-JULIO.SEPTIEMBRE,38,2026-01-12T10:12:30.821139
6,,,,,,,,,,2025-JULIO.SEPTIEMBRE,39,2026-01-12T10:12:30.821139
7,,,,,,,,,,2025-JULIO.SEPTIEMBRE,40,2026-01-12T10:12:30.821139
8,,,,,,,,,,2025-JULIO.SEPTIEMBRE,41,2026-01-12T10:12:30.821139
9,FREE BODA L&J,,,,,,,,,2025-JULIO.SEPTIEMBRE,42,2026-01-12T10:12:30.821139
10,,,,,TAMARIS-LLEGADA Y MONTAJE,,,,,2025-JULIO.SEPTIEMBRE,43,2026-01-12T10:12:30.821139
11,,,,,TAMARIS/Expos. Calzado,,,,,2025-JULIO.SEPTIEMBRE,44,2026-01-12T10:12:30.821139
12,,,,,TAMARIS/Expos. Calzado,,,,,2025-JULIO.SEPTIEMBRE,45,2026-01-12T10:12:30.821139
13,,,,,,,,,,2025-JULIO.SEPTIEMBRE,46,2026-01-12T10:12:30.821139
14,,,,,,,,,,2025-JULIO.SEPTIEMBRE,47,2026-01-12T10:12:30.821139
15,,,,,,,,,,2025-JULIO.SEPTIEMBRE,48,2026-01-12T10:12:30.821139
16,,,,,,,,,,2025-JULIO.SEPTIEMBRE,49,2026-01-12T10:12:30.821139
17,,,,,,,,,,2025-JULIO.SEPTIEMBRE,50,2026-01-12T10:12:30.821139
18,,,,,,,,,,2025-JULIO.SEPTIEMBRE,51,2026-01-12T10:12:30.821139
19,,EUROSTARS HOTEL COMPANY,,,,,,,,2025-JULIO.SEPTIEMBRE,52,2026-01-12T10:12:30.821139
20,,,,,,,,,,2025-JULIO.SEPTIEMBRE,53,2026-01-12T10:12:30.821139
21,,,,,,,,,,2025-JULIO.SEPTIEMBRE,54,2026-01-12T10:12:30.821139
22,,,,,,,,,,2025-JULIO.SEPTIEMBRE,55,2026-01-12T10:12:30.821139
23,,,,,,,,,,2025-JULIO.SEPTIEMBRE,56,2026-01-12T10:12:30.821139
24,,,,,,,,,,2025-JULIO.SEPTIEMBRE,57,2026-01-12T10:12:30.821139
25,,,,,,,,,,2025-JULIO.SEPTIEMBRE,58,2026-01-12T10:12:30.821139
26,,EUROSTARS HOTEL COMPANY,,,,,,,,2025-JULIO.SEPTIEMBRE,59,2026-01-12T10:12:30.821139
27,,,,,XTI-LLEGADA Y MONTAJE,,,,,2025-JULIO.SEPTIEMBRE,60,2026-01-12T10:12:30.821139
28,,,,,XTI/Expos. Calzado,,,,,2025-JULIO.SEPTIEMBRE,61,2026-01-12T10:12:30.821139
29,,,,,XTI/Expos. Calzado,,,,,2025-JULIO.SEPTIEMBRE,62,2026-01-12T10:12:30.821139
30,,,,,XTI/Expos. Calzado,,GPO. HOTUSA/MP                                        CENA 57 PAX,,,2025-JULIO.SEPTIEMBRE,63,2026-01-12T10:12:30.821139
31,,,,,XTI/Expos. Calzado,,,,,2025-JULIO.SEPTIEMBRE,64,2026-01-12T10:12:30.821139
SEPTIEMBRE,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,,2025-JULIO.SEPTIEMBRE,65,2026-01-12T10:12:30.821139
1,,,,,ARTURO AMAT-IN Y MONTAJE,,,,,2025-JULIO.SEPTIEMBRE,66,2026-01-12T10:12:30.821139
2,EUROSTARS HOTEL COMPANY,,,,ARTURO AMAT/Expos. Calzado,,,,,2025-JULIO.SEPTIEMBRE,67,2026-01-12T10:12:30.821139
3,,,,,ARTURO AMAT/Expos. Calzado,,,,,2025-JULIO.SEPTIEMBRE,68,2026-01-12T10:12:30.821139
4,,,,,,,,,,2025-JULIO.SEPTIEMBRE,69,2026-01-12T10:12:30.821139
5,SPORTING GIJON,SPORTING GIJON,SPORTING GIJON,SPORTING GIJON,SPORTING GIJON,,GPO. HOTUSA/MP 50 PAX,,,2025-JULIO.SEPTIEMBRE,70,2026-01-12T10:12:30.821139
6,SPORTING GIJON,SPORTING GIJON,SPORTING GIJON,SPORTING GIJON,SPORTING GIJON,,GPO. HOTUSA/MP 50 PAX,,,2025-JULIO.SEPTIEMBRE,71,2026-01-12T10:12:30.821139
7,,,,,STONEFLY-LLEGADA Y MONTAJE,,,,,2025-JULIO.SEPTIEMBRE,72,2026-01-12T10:12:30.821139
8,LLEGADA EL GANSO,,,,STONEFLY/Expos. Calzado,,,,,2025-JULIO.SEPTIEMBRE,73,2026-01-12T10:12:30.821139
9,EL GANSO-EXP. CONF.,REUNION 11 PAX-OKTA,,,STONEFLY/Expos. Calzado,,,,,2025-JULIO.SEPTIEMBRE,74,2026-01-12T10:12:30.821139
10,EL GANSO-EXP. CONF.,REUNION 11 PAX-OKTA,MONTAJE x  tarde  DIOR,EUROSTARS HOTEL COMPANY,,,GPO. HOTUSA/MP 23 PAX,,,2025-JULIO.SEPTIEMBRE,75,2026-01-12T10:12:30.821139
11,EL GANSO-EXP. CONF.,REUNION 11 PAX-OKTA,FORMACIÓN DIOR  BTRAVEL/12 pax,,THE URBAN ROOSTERS,COFFEE DIOR MAÑANA Y TARDE,GPO. HOTUSA/MP 50 PAX,,,2025-JULIO.SEPTIEMBRE,76,2026-01-12T10:12:30.821139
12,SALIDA EL GANSO,BLOQUEO MATERIAL DIOR,,,,,GPO. HOTUSA/MP 46 PAX,,,2025-JULIO.SEPTIEMBRE,77,2026-01-12T10:12:30.821139
13,,BLOQUEO MATERIAL DIOR,UEM-EXAMEN 30 PAX,,,,GPO. HOTUSA/MP 34 PAX,,,2025-JULIO.SEPTIEMBRE,78,2026-01-12T10:12:30.821139
14,,BLOQUEO MATERIAL DIOR,UEM-EXAMEN 30 PAX,IN EXCALPA MONTAJE,IN HISPANITAS MONTAJE,,GPO. HOTUSA/MP 34 PAX,,,2025-JULIO.SEPTIEMBRE,79,2026-01-12T10:12:30.821139
15,EUROSTARS HOTEL COMPANY,BLOQUEO MATERIAL DIOR,,EXCALPA-EXP. CALZADO,HISPANITAS JC-EXP. CALZADO,,,,,2025-JULIO.SEPTIEMBRE,80,2026-01-12T10:12:30.821139
16,,,BLOQUEO MATERIAL DIOR,EXCALPA-EXP. CALZADO,HISPANITAS JC-EXP. CALZADO,,,,,2025-JULIO.SEPTIEMBRE,81,2026-01-12T10:12:30.821139
17,,,DIOR / TEATRO 86 PAX+AUDIOS,DIOR / TEATRO 86 PAX+AUDIOS,,COCKTAIL BIENVENIDA                                                DIOR/86 PAX- 22'00 hrs.,,,,2025-JULIO.SEPTIEMBRE,82,2026-01-12T10:12:30.821139
18,,,IMBRIA PHARMACEUTICALS  COCKTAIL (12'00 HRS.) 25 PAX,"IMBRIA PHARMACEUTICALS  PRESENTACION ""U"" 25 PAX",,COPA BIENVENIDA                                              GPO. GUZMAN 19'30 HRS.,GRUPO GUZMAN (30 PAX) MP TIENEN BEBIDAS INCLUIDAS,,,2025-JULIO.SEPTIEMBRE,83,2026-01-12T10:12:30.821139
19,,,,,,,,,,2025-JULIO.SEPTIEMBRE,84,2026-01-12T10:12:30.821139
20,CD NUMANCIA-CHARLA,CD NUMANCIA-FISIO,UEM (EXAMEN 10 PAX) x mañana,CD NUMANCIA-COMEDOR,CD NUMANCIA-COMEDOR,,,,,2025-JULIO.SEPTIEMBRE,85,2026-01-12T10:12:30.821139
21,CD NUMANCIA-CHARLA,CD NUMANCIA-FISIO,                                                                                     CD NUMANCIA-ACTIVACION x MAÑANA     & MONTAJE x tarde EXP. CALZADO LODI,CD NUMANCIA-COMEDOR,CD NUMANCIA-COMEDOR,,,,,2025-JULIO.SEPTIEMBRE,86,2026-01-12T10:12:30.821139
22,,MONTAJE x tarde GIOSEPPO,LODI-EXP. CALZADO ANABEL HDEZ.,,,,,,,2025-JULIO.SEPTIEMBRE,87,2026-01-12T10:12:30.821139
23,,GIOSEPPO Exp. Calzado,,,Montaje x tarde BOLERO TEKSTIL,,,,,2025-JULIO.SEPTIEMBRE,88,2026-01-12T10:12:30.821139
24,,,"GENERAL OPTICA ""U"" 25 PAX + AUDIOS",,BOLERO TEKSTIL   Exp. Ropa,COFFEE-GENERAL OPTICA/25 PAX,,,,2025-JULIO.SEPTIEMBRE,89,2026-01-12T10:12:30.821139
25,EUROSTARS HOTEL COMPANY,JUNTA CONGRESO GEHEP      (De 9 a 14 hrs.),,30 PAX- NOMA SYSTEMS (JC),,OCEANO AZUL  GEHEP COFFEES   TARDE  100 PAX,GPO. HOTUSA/MP 18 PAX,,,2025-JULIO.SEPTIEMBRE,90,2026-01-12T10:12:30.821139
26,,JUNTA CONGRESO SOGUG      (De 9 a 11 hrs.),,45 PAX-NOMA SYSTEMS (MJ),,OCEANO AZUL GEHEP COFFEES  MAÑANA Y TARDE  110 PAX,CENA BUFFET RAIOLA NETWORKS 130 PAX.,,,2025-JULIO.SEPTIEMBRE,91,2026-01-12T10:12:30.821139
27,,,,,,OCEANO AZUL GEHEP  COFFEES   MAÑANA  80 PAX,COMIDA BUFFET RAIOLA NETWORKS 130 PAX.,,,2025-JULIO.SEPTIEMBRE,92,2026-01-12T10:12:30.821139
28,,,CALZADOS GONZALO/MONTAJE,,,,,,,2025-JULIO.SEPTIEMBRE,93,2026-01-12T10:12:30.821139
29,,,CALZADOS GONZALO/JC,,,,,,,2025-JULIO.SEPTIEMBRE,94,2026-01-12T10:12:30.821139
30,VILMORIN MIKADO,,,,"VILMORIN MIKADO  ""U"" 17 PAX",VILMORIN COFFEE TARDE 17 PAX,VILMORIN COMIDA-17 PAX,,,2025-JULIO.SEPTIEMBRE,95,2026-01-12T10:12:30.821139
,,,,,,,,,,2025-JULIO.SEPTIEMBRE,96,2026-01-12T10:12:30.821139
,,,,,,,,,,2025-JULIO.SEPTIEMBRE,97,2026-01-12T10:12:30.821139
,,,,,,,,,,2025-JULIO.SEPTIEMBRE,98,2026-01-12T10:12:30.821139
PRODUCCION NETA  ACUMULADA MES DE JULIO  (MICE + F & B),,,,,,,,,,2025-JULIO.SEPTIEMBRE,99,2026-01-12T10:12:30.821139
,,,,,,,,,,2025-JULIO.SEPTIEMBRE,100,2026-01-12T10:12:30.821139
,,2019,2022,2023,2024,2025,,,,2025-JULIO.SEPTIEMBRE,101,2026-01-12T10:12:30.821139
SALAS,,4508.26,3797.52,3856.2,3421.49,3863.64,PRODUCCION NETA x SEGMENTOS COMPARATIVA,,,2025-JULIO.SEPTIEMBRE,102,2026-01-12T10:12:30.821139
AUDIOS,,0,0,66.12,289.26,13.22,,MES DE JULIO,,2025-JULIO.SEPTIEMBRE,103,2026-01-12T10:12:30.821139
BUFFET + BEBIDAS RTE.,,19532.73,12900.91,18545.27,13784.38,0,,,,2025-JULIO.SEPTIEMBRE,104,2026-01-12T10:12:30.821139
BANQUETES,,4765.45,3585.45,9041,4568.18,0,,,,2025-JULIO.SEPTIEMBRE,105,2026-01-12T10:12:30.821139
MENUS EQUIPOS Y GRUPOS,,16195.14,4101.86,3415.11,5613.23,1003.64,Ejercicio    2019,334341.52,,2025-JULIO.SEPTIEMBRE,106,2026-01-12T10:12:30.821139
COFFEE-BREAK,,54.55,272.73,481.82,407.27,582.73,Ejercicio    2020,0,,2025-JULIO.SEPTIEMBRE,107,2026-01-12T10:12:30.821139
ROOM-SERVICE,,5169.51,2212.88,2264.29,2423.31,2184.15,Ejercicio    2021,207815.56,,2025-JULIO.SEPTIEMBRE,108,2026-01-12T10:12:30.821139
DESAYUNO,,43446.68,47619.9,58286.29,52953.29,49488.51,Ejercicio    2022,405252.7,,2025-JULIO.SEPTIEMBRE,109,2026-01-12T10:12:30.821139
MINIBAR,,1852.27,2503.09,2940,2231.66,2377.63,Ejercicio    2023,440653.14,,2025-JULIO.SEPTIEMBRE,110,2026-01-12T10:12:30.821139
BAR,,5484.81,1792.91,2100.64,1736.84,6762.44,Ejercicio    2024,455763.23,,2025-JULIO.SEPTIEMBRE,111,2026-01-12T10:12:30.821139
,,,,,,,Ejercicio    2025,520166.03,,2025-JULIO.SEPTIEMBRE,112,2026-01-12T10:12:30.821139
,TOTAL,101009.40000000001,78787.25,100996.74,87428.91,66275.95999999999,,,,2025-JULIO.SEPTIEMBRE,113,2026-01-12T10:12:30.821139
,,,,,,,,,,2025-JULIO.SEPTIEMBRE,114,2026-01-12T10:12:30.821139
,,Diferencia (2019-2025):,-34733.44000000002,,,,,Diferencia (2019-2025):,185824.51,2025-JULIO.SEPTIEMBRE,115,2026-01-12T10:12:30.821139
,,Diferencia (2022-2025):,-12511.290000000008,,,,,Diferencia (2020-2025):,520166.03,2025-JULIO.SEPTIEMBRE,116,2026-01-12T10:12:30.821139
,,Diferencia (2023-2025):,-34720.78000000001,,,,,Diferencia (2021-2025):,312350.47000000003,2025-JULIO.SEPTIEMBRE,117,2026-01-12T10:12:30.821139
,,Diferencia (2024-2025):,-21152.95000000001,,,,,Diferencia (2022-2025):,114913.33000000002,2025-JULIO.SEPTIEMBRE,118,2026-01-12T10:12:30.821139
,,,,,,,,Diferencia (2023-2025):,79512.89000000001,2025-JULIO.SEPTIEMBRE,119,2026-01-12T10:12:30.821139
,,,,,,,,Diferencia (2024-2025):,64402.80000000005,2025-JULIO.SEPTIEMBRE,120,2026-01-12T10:12:30.821139
,,,,,,,,,,2025-JULIO.SEPTIEMBRE,121,2026-01-12T10:12:30.821139
,,,,,,,,,,2025-JULIO.SEPTIEMBRE,122,2026-01-12T10:12:30.821139
PRODUCCION NETA  ACUMULADA MES DE AGOSTO  (MICE + F & B),,,,,,,PRODUCCION NETA x SEGMENTOS COMPARATIVA,,,2025-JULIO.SEPTIEMBRE,123,2026-01-12T10:12:30.821139
,,,,,,,,MES DE AGOSTO,,2025-JULIO.SEPTIEMBRE,124,2026-01-12T10:12:30.821139
,,2019,2022,2023,2024,2025,,,,2025-JULIO.SEPTIEMBRE,125,2026-01-12T10:12:30.821139
SALAS,,958.68,450.41,1490.91,0,615.7,,,,2025-JULIO.SEPTIEMBRE,126,2026-01-12T10:12:30.821139
AUDIOS,,0,0,0,0,0,Ejercicio    2019,384151.59,,2025-JULIO.SEPTIEMBRE,127,2026-01-12T10:12:30.821139
BUFFET + BEBIDAS RTE.,,27473.18,11637.73,16523.35,16077.89,0,Ejercicio    2020,301.15,,2025-JULIO.SEPTIEMBRE,128,2026-01-12T10:12:30.821139
BANQUETES,,2052.73,3923.64,0,3675.45,0,Ejercicio    2021,441672.87,,2025-JULIO.SEPTIEMBRE,129,2026-01-12T10:12:30.821139
MENUS EQUIPOS Y GRUPOS,,1330.91,2886.32,4489.42,1670.52,640.82,Ejercicio    2022,557254.3,,2025-JULIO.SEPTIEMBRE,130,2026-01-12T10:12:30.821139
COFFEE-BREAK,,0,86.36,172.73,44.55,0,Ejercicio    2023,567146.59,,2025-JULIO.SEPTIEMBRE,131,2026-01-12T10:12:30.821139
ROOM-SERVICE,,3481.19,1845.46,1551.45,1403.17,1217.98,Ejercicio    2024,564930.53,,2025-JULIO.SEPTIEMBRE,132,2026-01-12T10:12:30.821139
DESAYUNO,,42871.01,51323.24,49258.15,54425.61,51895.48,Ejercicio    2025,589628.93,,2025-JULIO.SEPTIEMBRE,133,2026-01-12T10:12:30.821139
MINIBAR,,1402.27,2088.64,2217.27,1987.27,1901.61,,,,2025-JULIO.SEPTIEMBRE,134,2026-01-12T10:12:30.821139
BAR,,5269.55,1973.55,2284.4,1775.77,6649.92,,Diferencia (2019-2025):,205477.34000000003,2025-JULIO.SEPTIEMBRE,135,2026-01-12T10:12:30.821139
,,,, ,,,,Diferencia (2020-2025):,589327.78,2025-JULIO.SEPTIEMBRE,136,2026-01-12T10:12:30.821139
,TOTAL,84839.52000000002,76215.35,77987.68000000001,81060.23000000001,62921.51,,Diferencia (2021-2025):,147956.06000000006,2025-JULIO.SEPTIEMBRE,137,2026-01-12T10:12:30.821139
,,,,,,,,Diferencia (2022-2025):,32374.630000000005,2025-JULIO.SEPTIEMBRE,138,2026-01-12T10:12:30.821139
,,Diferencia (2019-2025):,-21918.010000000017,,,,,Diferencia (2023-2025):,22482.340000000084,2025-JULIO.SEPTIEMBRE,139,2026-01-12T10:12:30.821139
,,Diferencia (2022-2025):,-13293.840000000004,,,,,Diferencia (2024-2025):,24698.400000000023,2025-JULIO.SEPTIEMBRE,140,2026-01-12T10:12:30.821139
,,Diferencia (2023-2025):,-15066.170000000006,,,,,,,2025-JULIO.SEPTIEMBRE,141,2026-01-12T10:12:30.821139
,,Diferencia (2024-2025):,-18138.72000000001,,,,,,,2025-JULIO.SEPTIEMBRE,142,2026-01-12T10:12:30.821139
,,,,,,,,,,2025-JULIO.SEPTIEMBRE,143,2026-01-12T10:12:30.821139
,,,,,,,,,,2025-JULIO.SEPTIEMBRE,144,2026-01-12T10:12:30.821139
,,,,,,,,,,2025-JULIO.SEPTIEMBRE,145,2026-01-12T10:12:30.821139
PRODUCCION NETA  ACUMULADA MES DE SEPTIEMBRE  (MICE + F & B),,,,,,,PRODUCCION NETA x SEGMENTOS COMPARATIVA,,,2025-JULIO.SEPTIEMBRE,146,2026-01-12T10:12:30.821139
,,,,,,,,MES DE SEPTIEMBRE,,2025-JULIO.SEPTIEMBRE,147,2026-01-12T10:12:30.821139
,,2019,2022,2023,2024,2025,,,,2025-JULIO.SEPTIEMBRE,148,2026-01-12T10:12:30.821139
SALAS,,4359.21,4177.69,4760.97,4991.74,5784.5,,,,2025-JULIO.SEPTIEMBRE,149,2026-01-12T10:12:30.821139
AUDIOS,,157.02,123.97,247.93,220.04,1277.47,Ejercicio    2019,311327.69,,2025-JULIO.SEPTIEMBRE,150,2026-01-12T10:12:30.821139
BUFFET + BEBIDAS RTE.,,16193.64,10205.27,11732.95,11125.32,0,Ejercicio    2020,53667.02,,2025-JULIO.SEPTIEMBRE,151,2026-01-12T10:12:30.821139
BANQUETES,,1363.64,4064.73,2832.73,0,3417.73,Ejercicio    2021,224735.34,,2025-JULIO.SEPTIEMBRE,152,2026-01-12T10:12:30.821139
MENUS EQUIPOS Y GRUPOS,,3420.6,10516.18,16280.79,14217.97,16189.1,Ejercicio    2022,321299.26,,2025-JULIO.SEPTIEMBRE,153,2026-01-12T10:12:30.821139
COFFEE-BREAK,,81.82,199.09,1107.95,208.73,3238.41,Ejercicio    2023,370046.42,,2025-JULIO.SEPTIEMBRE,154,2026-01-12T10:12:30.821139
ROOM-SERVICE,,3969.28,1924.53,1911.09,2010.74,1480.4,Ejercicio    2024,386133.59,,2025-JULIO.SEPTIEMBRE,155,2026-01-12T10:12:30.821139
DESAYUNO,,38561.48,48279.1,64007.83,47616.19,48303.35,Ejercicio    2025,443673.96,,2025-JULIO.SEPTIEMBRE,156,2026-01-12T10:12:30.821139
MINIBAR,,1765,2163.64,2127.27,1721.66,1716.83,,,,2025-JULIO.SEPTIEMBRE,157,2026-01-12T10:12:30.821139
BAR,,5768.32,1924.64,1916.34,1730.07,8519.11,,Diferencia (2019-2025):,132346.27000000002,2025-JULIO.SEPTIEMBRE,158,2026-01-12T10:12:30.821139
,,,,,,,,Diferencia (2020-2025):,390006.94,2025-JULIO.SEPTIEMBRE,159,2026-01-12T10:12:30.821139
,TOTAL,75640.01000000001,83578.84,106925.84999999999,83842.46000000002,89926.90000000001,,Diferencia (2021-2025):,218938.62000000002,2025-JULIO.SEPTIEMBRE,160,2026-01-12T10:12:30.821139
,,,,,,,,Diferencia (2022-2025):,122374.70000000001,2025-JULIO.SEPTIEMBRE,161,2026-01-12T10:12:30.821139
,,Diferencia (2019-2025):,14286.89,,,,,Diferencia (2023-2025):,73627.54000000004,2025-JULIO.SEPTIEMBRE,162,2026-01-12T10:12:30.821139
,,Diferencia (2022-2025):,6348.060000000012,,,,,Diferencia (2024-2025):,57540.369999999995,2025-JULIO.SEPTIEMBRE,163,2026-01-12T10:12:30.821139
,,Diferencia (2023-2025):,-16998.949999999983,,,,,,,2025-JULIO.SEPTIEMBRE,164,2026-01-12T10:12:30.821139
,,Diferencia (2024-2025):,6084.439999999988,,,,,,,2025-JULIO.SEPTIEMBRE,165,2026-01-12T10:12:30.821139
